province,link
"ACEH
66.59%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11
"BALI
54.72%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/51
"BANTEN
65.54%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36
"BENGKULU
83.98%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/17
"DAERAH ISTIMEWA YOGYAKARTA
76.58%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/34
"DKI JAKARTA
68.98%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/31
"GORONTALO
81.15%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/75
"JAMBI
72.36%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/15
"JAWA BARAT
66.95%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/32
"JAWA TENGAH
86.29%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/35
"JAWA TIMUR
79.79%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/35
"KALIMANTAN BARAT
71.15%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/61
"KALIMANTAN SELATAN
62.19%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/63
"KALIMANTAN TENGAH
64.10%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/62
"KALIMANTAN TIMUR
59.64%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/64
"KALIMANTAN UTARA
64.14%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/65
"KEPULAUAN BANGKA BELITUNG
76.99%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/19
"KEPULAUAN RIAU
53.35%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/21
"LAMPUNG
83.40%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/18
"MALUKU
48.84%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/81
"MALUKU UTARA
47.66%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/82
"NUSA TENGGARA BARAT
75.27%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52
"NUSA TENGGARA TIMUR
64.24%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/53
"P A P U A
26.47%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/91
"PAPUA BARAT
23.14%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/92
"PAPUA BARAT DAYA
36.09%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/96
"PAPUA PEGUNUNGAN
0.05%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/95
"PAPUA SELATAN
17.51%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/93
"PAPUA TENGAH
4.59%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/94
"RIAU
59.43%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/14
"SULAWESI BARAT
79.54%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/76
"SULAWESI SELATAN
73.78%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/73
"SULAWESI TENGAH
69.43%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/72
"SULAWESI TENGGARA
78.54%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/74
"SULAWESI UTARA
85.23%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/71
"SUMATERA BARAT
70.61%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/13
"SUMATERA SELATAN
73.53%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/16
"SUMATERA UTARA
55.83%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/12
"Luar Negeri
54.50%",https://pemilu2024.kpu.go.id/pilpres/hitung-suara/99
